order_id,customer_name,pickup_zone,delivery_zone,rider_id,order_date,pickup_time,delivery_time,order_value,delivery_fee,status,payment_method,rider_rating
FD-00392,Ngozi Eze,Victoria Island,Yaba,RDR-002,2026-07-07,16:19,17:45,8530.88,441.71,Delivered ,transfer,2.9
FD-00286,Daniel Okafor,Surulere,Victoria Island,RDR-030,2026-07-19,18:43,19:23,2795.88,215.42,Delivered,card,2.6
FD-00060,Blessing Nwofor,Victoria Island,Lekki,RDR-029,2026-07-23,18:01,,5133.84,344.97,DELIVERED,cash,3.1
FD-00406,Funmilayo Adeyemi,Lekki,Yaba,RDR-007,2026-07-20,08:16,09:12,3995.96,1104.32,DELIVERED,transfer,
FD-00145,Yetunde Akinwande,Lekki,Ikeja,RDR-019,2026-07-09,,,"₦11,505.08",1178.31,failed ,card,4.8
FD-00240,Emeka Chukwu,Ikeja,Surulere,RDR-006,2026-07-15,13:11,13:49,1886.72,1021.44,FAILED,card,4.0
FD-00292,Zainab Abdullahi,Lekki,Surulere,RDR-021,2026-07-21,10:40,12:05,12237.3,963.7,Failed,cash,
FD-00281,Adaeze Obi,Ikeja,Surulere,RDR-004,2026-07-01,18:33,,10080.89,488.48,failed,card,4.1
FD-00170,Yetunde Akinwande,Yaba,Surulere,RDR-026,2026-07-28,,,10124.25,547.99,Delivered,card,3.1
FD-00453,Mariam Suleiman,Surulere,Victoria Island,RDR-001,2026-07-18,14:12,14:52,,760.41,delivered,cash,3.2
FD-00001,Damilola Adeyinka,Surulere,Victoria Island,RDR-020,2026-07-06,,,"₦2,692.07",929.03,delivered,card,4.3
FD-00256,Ola Adewale,Victoria Island,Yaba,RDR-012,2026-07-22,16:55,,5970.28,962.08,Failed,card,3.2
FD-00222,Tope Afolabi,Victoria Island,Lekki,RDR-009,2026-07-26,18:35,,10947.71,650.76,Delivered ,transfer,3.2
FD-00280,Ifeanyi Nwachukwu,Yaba,Lekki,RDR-020,2026-07-19,,,14336.78,325.67,Failed,cash,3.1
FD-00155,Samuel Ogunyemi,Ojodu,Surulere,RDR-009,2026-07-19,19:24,20:36,6931.06,503.15,Delivered,cash,
FD-00344,Adaeze Obi,Yaba,Lekki,RDR-021,2026-07-27,15:22,16:25,11142.46,219.23,Delivered,card,
FD-00362,Segun Balogun,Victoria Island,Ikeja,RDR-024,2026-07-14,,,6342.87,501.01,failed ,cash,
FD-00339,Blessing Nwofor,Ikeja,Victoria Island,RDR-028,2026-07-01,,,"₦3,970.23",1166.9,Delivered,transfer,4.7
FD-00003,Babatunde Oluwole,Ikeja,Yaba,RDR-007,2026-07-12,16:05,17:24,3612.73,251.32,Delivered,card,5.0
FD-00268,Chidi Okeke,Victoria Island,Ikeja,RDR-010,2026-07-26,17:23,17:43,"₦14,200.66",1059.33,Failed,,4.8
FD-00351,Amaka Osei,Victoria Island,Ojodu,RDR-027,2026-07-05,16:47,17:50,12298.35,712.7,DELIVERED,cash,2.7
FD-00260,Segun Balogun,Lekki,Ikeja,RDR-026,2026-07-23,13:53,15:18,12640.68,1131.82,Delivered,card,
FD-00435,Amaka Osei,Surulere,Ikeja,RDR-016,2026-07-28,,,4907.67,892.69,failed,cash,4.2
FD-00008,Chukwuemeka Nwosu,Lekki,Yaba,RDR-025,2026-07-15,,,12920.86,919.97,DELIVERED,transfer,3.1
FD-00396,Aisha Mustapha,Victoria Island,Ojodu,RDR-010,2026-07-18,20:03,20:37,3691.11,509.17,pending,card,4.9
FD-00019,Biodun Okafor,Victoria Island,Ojodu,RDR-015,2026-07-24,09:56,10:36,12707.79,573.12,delivered,cash,2.9
FD-00391,Patience Eze,Ojodu,Surulere,RDR-012,2026-07-25,,,8026.98,756.06,pending,,4.5
FD-00138,Chidinma Obiora,Victoria Island,Surulere,RDR-027,2026-07-07,,,14314.03,1060.55,FAILED,card,4.1
FD-00407,Chidi Okeke,Ikeja,Ojodu,RDR-005,2026-07-17,08:59,09:58,14526.08,1135.39,Pending,cash,3.5
FD-00078,Ifeanyi Nwachukwu,Yaba,Surulere,RDR-002,2026-07-25,,,8691.49,1077.9,DELIVERED,cash,2.8
FD-00400,Amaka Osei,Surulere,Ojodu,RDR-020,2026-07-06,19:47,20:46,5733.53,653.75,Pending,cash,
FD-00188,Daniel Okafor,Victoria Island,Ikeja,RDR-006,2026-07-20,13:26,14:24,1531.28,785.08,delivered,,4.2
FD-00367,Yetunde Akinwande,Ikeja,Lekki,RDR-003,2026-07-17,08:25,08:47,8233.37,295.26,delivered,,4.8
FD-00426,Patience Eze,Lekki,Victoria Island,RDR-030,2026-07-08,13:32,14:53,9000.7,980.88,DELIVERED,cash,3.3
FD-00458,Ola Adewale,Ojodu,Ikeja,RDR-014,2026-07-23,,,11977.26,522.39,delivered,card,4.6
FD-00425,Ifeanyi Nwachukwu,Victoria Island,Yaba,RDR-009,2026-07-26,,,"₦10,006.74",588.41,Delivered ,card,3.4
FD-00290,Chidinma Obiora,Yaba,Ojodu,RDR-010,2026-07-19,,,4851.0,559.49,delivered,card,3.9
FD-00125,Ifeanyi Nwachukwu,Victoria Island,Surulere,RDR-003,2026-07-19,10:20,11:12,4179.41,1192.69,failed ,transfer,4.8
FD-00013,Chukwuemeka Nwosu,Ikeja,Yaba,RDR-010,2026-07-12,18:45,,2221.58,594.66,FAILED,cash,4.8
FD-00301,Obinna Okonkwo,Surulere,Lekki,RDR-009,2026-07-16,14:31,15:19,"₦10,627.49",1165.94,delivered,transfer,2.8
FD-00364,Ngozi Eze,Ikeja,Yaba,RDR-001,2026-07-13,17:05,17:39,,632.73,Delivered,card,4.4
FD-00221,Emeka Chukwu,Lekki,Yaba,RDR-029,2026-07-17,10:59,,14409.56,1152.43,FAILED,cash,4.0
FD-00452,Chidi Okeke,Ojodu,Victoria Island,RDR-015,2026-07-20,18:43,20:13,9757.18,1090.47,Failed,transfer,4.1
FD-00117,Ifeanyi Nwachukwu,Ikeja,Surulere,RDR-015,2026-07-27,19:01,19:45,11898.38,726.4,DELIVERED,cash,2.7
FD-00369,Mariam Suleiman,Ikeja,Lekki,RDR-008,2026-07-25,,,"₦8,531.78",666.52,Delivered ,cash,
FD-00170,Yetunde Akinwande,Yaba,Surulere,RDR-026,2026-07-28,,,10124.25,547.99,Delivered,card,3.1
FD-00062,Kelechi Uchenna,Victoria Island,Yaba,RDR-008,2026-07-25,08:45,09:32,14596.48,405.23,delivered,cash,4.6
FD-00055,Yetunde Akinwande,Yaba,Victoria Island,RDR-007,2026-07-17,10:29,11:22,12567.07,1100.15,delivered,cash,4.9
FD-00070,Emeka Chukwu,Victoria Island,Ojodu,RDR-010,2026-07-25,,,"₦7,321.72",564.56,failed ,transfer,3.9
FD-00441,Chidi Okeke,Yaba,Ojodu,RDR-009,2026-07-02,,,14113.95,1074.24,Delivered,card,3.7
FD-00103,Tope Afolabi,Ojodu,Yaba,RDR-007,2026-07-09,19:32,,2993.53,524.43,Delivered,card,2.8
FD-00278,Funmilayo Adeyemi,Victoria Island,Yaba,RDR-006,2026-07-10,15:31,16:14,11542.58,524.8,delivered,transfer,2.9
FD-00204,Ngozi Eze,Victoria Island,Yaba,RDR-024,2026-07-20,,,,1096.21,Delivered,cash,3.8
FD-00233,Zainab Abdullahi,Victoria Island,Surulere,RDR-022,2026-07-25,17:46,18:22,8886.75,765.26,Delivered ,card,4.4
FD-00349,Funmilayo Adeyemi,Victoria Island,Surulere,RDR-027,2026-07-06,11:56,13:26,9951.14,968.26,Delivered,,
FD-00254,Zainab Abdullahi,Lekki,Victoria Island,RDR-023,2026-07-26,14:00,14:47,9920.72,329.33,PENDING,cash,4.9
FD-00451,Samuel Ogunyemi,Yaba,Ojodu,RDR-010,2026-07-27,09:22,10:15,8969.24,578.02,delivered,cash,3.3
FD-00174,Chidi Okeke,Ikeja,Victoria Island,RDR-003,2026-07-25,,,10316.74,708.76,DELIVERED,,4.1
FD-00368,Chidinma Obiora,Yaba,Surulere,RDR-026,2026-07-24,,,14834.85,1147.08,DELIVERED,cash,3.9
FD-00216,Kelechi Uchenna,Yaba,Victoria Island,RDR-016,2026-07-22,19:42,20:58,12695.02,382.2,DELIVERED,cash,4.5
FD-00296,Kelechi Uchenna,Ojodu,Surulere,RDR-025,2026-07-08,17:55,,11687.66,420.87,DELIVERED,card,
FD-00295,Biodun Okafor,Yaba,Ikeja,RDR-002,2026-07-01,17:05,,4451.57,233.94,FAILED,,3.6
FD-00454,Taiwo Hassan,Ikeja,Ojodu,RDR-012,2026-07-18,,,7276.68,1071.27,pending,card,2.6
FD-00083,Taiwo Hassan,Ojodu,Ikeja,RDR-022,2026-07-12,,,12326.4,200.04,failed ,card,4.5
FD-00429,Emeka Chukwu,Ojodu,Ikeja,RDR-014,2026-07-07,16:08,,"₦9,671.92",285.05,FAILED,card,3.3
FD-00157,Daniel Okafor,Surulere,Victoria Island,RDR-006,2026-07-20,17:12,18:40,8919.08,1166.51,delivered,transfer,4.3
FD-00154,Damilola Adeyinka,Yaba,Lekki,RDR-021,2026-07-28,11:30,12:56,4834.83,645.86,failed ,transfer,4.8
FD-00261,Chidi Okeke,Lekki,Ojodu,RDR-028,2026-07-21,,,4888.96,473.14,FAILED,card,3.1
FD-00352,Yetunde Akinwande,Yaba,Ojodu,RDR-001,2026-07-05,,,2480.3,447.89,delivered,,3.1
FD-00457,Ifeanyi Nwachukwu,Ojodu,Yaba,RDR-003,2026-07-18,18:43,,"₦11,630.53",573.77,failed ,card,3.0
FD-00194,Mariam Suleiman,Victoria Island,Ojodu,RDR-016,2026-07-09,13:51,14:50,13991.18,1103.31,delivered,,
FD-00438,Babatunde Oluwole,Ojodu,Surulere,RDR-020,2026-07-05,20:08,21:18,11913.3,298.31,failed,cash,4.3
FD-00032,Obinna Okonkwo,Surulere,Yaba,RDR-011,2026-07-20,,,1081.69,834.24,pending,transfer,3.9
FD-00322,Zainab Abdullahi,Surulere,Victoria Island,RDR-012,2026-07-06,,,"₦13,096.83",407.55,Delivered,transfer,4.2
FD-00128,Adaeze Obi,Lekki,Ojodu,RDR-018,2026-07-26,14:27,15:33,"₦3,641.17",953.24,delivered,transfer,3.2
FD-00057,Babatunde Oluwole,Yaba,Ikeja,RDR-011,2026-07-04,08:27,09:34,"₦13,953.90",572.67,DELIVERED,card,4.7
FD-00366,Segun Balogun,Lekki,Ikeja,RDR-010,2026-07-22,,,1934.12,1047.5,Delivered,card,4.6
FD-00370,Ola Adewale,Ikeja,Ojodu,RDR-030,2026-07-23,08:58,10:28,14672.6,244.89,failed,,4.8
FD-00181,Funmilayo Adeyemi,Yaba,Ikeja,RDR-007,2026-07-03,08:20,09:50,10987.5,508.78,delivered,cash,
FD-00230,Daniel Okafor,Ikeja,Lekki,RDR-009,2026-07-22,15:32,16:30,11817.01,511.74,Delivered ,,4.3
FD-00375,Daniel Okafor,Victoria Island,Lekki,RDR-029,2026-07-01,,,5914.87,769.52,failed,cash,4.0
FD-00084,Samuel Ogunyemi,Surulere,Lekki,RDR-028,2026-07-08,09:22,10:03,"₦2,805.60",238.42,delivered,card,2.9
FD-00440,Segun Balogun,Ojodu,Ikeja,RDR-011,2026-07-04,,,"₦7,542.13",690.59,failed ,,3.7
FD-00353,Segun Balogun,Ojodu,Yaba,RDR-030,2026-07-11,10:09,10:51,"₦1,266.48",418.89,PENDING,transfer,4.5
FD-00255,Segun Balogun,Yaba,Lekki,RDR-030,2026-07-24,11:18,11:41,6853.56,513.03,Delivered,card,4.2
FD-00460,Daniel Okafor,Victoria Island,Surulere,RDR-030,2026-07-24,11:08,12:07,11301.06,833.98,DELIVERED,card,4.7
FD-00321,Emeka Chukwu,Surulere,Victoria Island,RDR-016,2026-07-01,08:35,09:47,14678.41,1138.94,DELIVERED,card,3.8
FD-00251,Aisha Mustapha,Yaba,Victoria Island,RDR-005,2026-07-16,15:10,,6244.27,969.09,PENDING,card,3.4
FD-00053,Fatima Bello,Surulere,Victoria Island,RDR-004,2026-07-12,14:27,15:27,"₦11,153.27",983.4,PENDING,transfer,5.0
FD-00318,Samuel Ogunyemi,Surulere,Yaba,RDR-027,2026-07-05,10:57,11:37,12574.25,639.29,DELIVERED,cash,2.8
FD-00326,Chidinma Obiora,Lekki,Yaba,RDR-016,2026-07-12,11:29,12:52,948.54,511.13,delivered,transfer,3.3
FD-00237,Tope Afolabi,Surulere,Ikeja,RDR-015,2026-07-12,19:39,,3802.12,749.25,Delivered,card,3.4
FD-00436,Fatima Bello,Ikeja,Lekki,RDR-028,2026-07-04,08:14,09:39,12629.85,332.26,Delivered ,card,2.6
FD-00232,Funmilayo Adeyemi,Victoria Island,Surulere,RDR-010,2026-07-27,,,9545.08,279.51,Delivered ,cash,4.4
FD-00297,Ola Adewale,Ojodu,Lekki,RDR-018,2026-07-28,09:01,09:26,"₦2,973.82",355.57,Failed,card,3.2
FD-00147,Ifeanyi Nwachukwu,Victoria Island,Lekki,RDR-014,2026-07-16,08:03,,8579.11,835.38,Delivered ,cash,3.8
FD-00320,Segun Balogun,Lekki,Surulere,RDR-010,2026-07-14,20:43,,9254.96,883.28,PENDING,,2.5
FD-00354,Ifeanyi Nwachukwu,Surulere,Victoria Island,RDR-028,2026-07-02,,,13869.56,893.7,delivered,card,3.7
FD-00010,Mariam Suleiman,Victoria Island,Surulere,RDR-013,2026-07-22,17:42,,,204.31,DELIVERED,cash,4.2
FD-00404,Emeka Chukwu,Yaba,Lekki,RDR-008,2026-07-05,18:31,19:51,9780.48,974.32,PENDING,card,2.6
FD-00016,Chukwuemeka Nwosu,Surulere,Ikeja,RDR-002,2026-07-11,16:48,,7034.95,617.72,failed,card,3.4
FD-00054,Amaka Osei,Ikeja,Lekki,RDR-019,2026-07-24,,,14356.27,453.85,delivered,cash,
FD-00389,Adaeze Obi,Lekki,Ojodu,RDR-016,2026-07-02,,,11905.24,797.24,Pending,transfer,
FD-00287,Mariam Suleiman,Surulere,Victoria Island,RDR-006,2026-07-05,15:49,16:13,4704.79,571.68,Delivered ,card,3.1
FD-00381,Patience Eze,Ikeja,Ojodu,RDR-023,2026-07-12,11:28,,8497.82,813.08,delivered,transfer,
FD-00066,Kelechi Uchenna,Ikeja,Ojodu,RDR-030,2026-07-28,20:15,21:01,11703.87,876.96,Delivered ,transfer,3.1
FD-00336,Grace Abiodun,Lekki,Ikeja,RDR-020,2026-07-24,10:57,12:05,2788.07,289.09,DELIVERED,cash,4.1
FD-00147,Ifeanyi Nwachukwu,Victoria Island,Lekki,RDR-014,2026-07-16,08:03,,8579.11,835.38,Delivered ,cash,3.8
FD-00048,Ola Adewale,Ikeja,Lekki,RDR-017,2026-07-28,,,4432.45,601.1,Pending,cash,3.7
FD-00069,Ifeanyi Nwachukwu,Surulere,Victoria Island,RDR-011,2026-07-12,11:42,,9478.58,931.58,Delivered,transfer,4.9
FD-00164,Daniel Okafor,Ikeja,Yaba,RDR-027,2026-07-06,20:44,21:08,12571.85,530.99,DELIVERED,cash,
FD-00012,Adaeze Obi,Surulere,Victoria Island,RDR-009,2026-07-24,14:29,15:56,11703.63,805.94,delivered,card,
FD-00136,Mariam Suleiman,Yaba,Surulere,RDR-021,2026-07-12,20:34,21:30,8314.31,650.45,failed ,cash,2.9
FD-00311,Ngozi Eze,Lekki,Surulere,RDR-015,2026-07-10,,,5579.04,416.58,PENDING,,
FD-00409,Yetunde Akinwande,Victoria Island,Ojodu,RDR-021,2026-07-04,,,2192.46,515.33,Delivered ,card,4.5
FD-00289,Ola Adewale,Surulere,Lekki,RDR-009,2026-07-01,19:42,20:32,"₦5,205.91",330.92,delivered,card,3.1
FD-00149,Chidi Okeke,Yaba,Surulere,RDR-011,2026-07-28,20:18,,6487.89,726.61,DELIVERED,,
FD-00337,Aisha Mustapha,Surulere,Lekki,RDR-005,2026-07-04,15:50,,8431.84,253.96,PENDING,transfer,2.5
FD-00134,Babatunde Oluwole,Lekki,Ojodu,RDR-014,2026-07-15,08:03,08:29,4837.57,1039.71,Delivered ,transfer,3.0
FD-00331,Yetunde Akinwande,Ojodu,Surulere,RDR-007,2026-07-09,14:19,,7407.21,1176.92,delivered,cash,
FD-00095,Ola Adewale,Lekki,Victoria Island,RDR-010,2026-07-06,20:01,21:07,,564.11,Delivered,card,3.8
FD-00028,Damilola Adeyinka,Ikeja,Surulere,RDR-011,2026-07-13,,,"₦2,978.84",229.05,DELIVERED,cash,3.6
FD-00112,Amaka Osei,Ojodu,Surulere,RDR-027,2026-07-13,,,12523.82,906.5,failed ,card,3.0
FD-00185,Fatima Bello,Ikeja,Victoria Island,RDR-002,2026-07-26,16:43,18:09,6621.83,935.98,Delivered ,cash,2.5
FD-00198,Grace Abiodun,Ojodu,Victoria Island,RDR-021,2026-07-06,,,5986.54,743.14,Delivered ,card,4.8
FD-00387,Babatunde Oluwole,Yaba,Ikeja,RDR-022,2026-07-12,18:17,18:56,,595.92,delivered,cash,
FD-00450,Amaka Osei,Ikeja,Victoria Island,RDR-023,2026-07-05,,,7588.1,913.41,Delivered ,cash,4.5
FD-00071,Ngozi Eze,Surulere,Ojodu,RDR-028,2026-07-19,16:23,,1144.61,681.85,Delivered ,transfer,3.5
FD-00141,Ifeanyi Nwachukwu,Ikeja,Yaba,RDR-022,2026-07-02,14:11,,"₦2,133.58",564.73,Delivered,,3.7
FD-00279,Samuel Ogunyemi,Yaba,Surulere,RDR-008,2026-07-14,,,6305.22,742.15,Delivered ,card,4.2
FD-00374,Funmilayo Adeyemi,Ikeja,Surulere,RDR-027,2026-07-12,17:53,18:31,6577.18,352.45,FAILED,cash,4.4
FD-00009,Aisha Mustapha,Surulere,Ikeja,RDR-029,2026-07-15,12:04,,10524.27,677.1,DELIVERED,card,4.1
FD-00083,Taiwo Hassan,Ojodu,Ikeja,RDR-022,2026-07-12,,,12326.4,200.04,failed ,card,4.5
FD-00224,Patience Eze,Ojodu,Ikeja,RDR-029,2026-07-09,16:21,,2410.95,1174.99,Delivered,transfer,3.2
FD-00439,Kelechi Uchenna,Ikeja,Lekki,RDR-021,2026-07-14,15:49,16:44,11091.58,243.53,Delivered,card,4.6
FD-00035,Obinna Okonkwo,Surulere,Yaba,RDR-005,2026-07-10,11:54,13:18,7159.85,834.52,Delivered,transfer,
FD-00378,Samuel Ogunyemi,Ikeja,Ojodu,RDR-003,2026-07-23,11:24,,3038.88,784.98,PENDING,cash,4.6
FD-00148,Grace Abiodun,Yaba,Lekki,RDR-004,2026-07-17,,,5033.28,292.65,Pending,transfer,
FD-00394,Blessing Nwofor,Lekki,Yaba,RDR-012,2026-07-17,17:55,18:35,13937.0,1039.52,Delivered ,transfer,4.5
FD-00330,Biodun Okafor,Ikeja,Victoria Island,RDR-017,2026-07-22,,,"₦13,169.04",797.26,Failed,transfer,3.9
FD-00427,Biodun Okafor,Ojodu,Surulere,RDR-016,2026-07-25,09:43,11:09,14611.7,696.61,PENDING,card,4.1
FD-00036,Adaeze Obi,Victoria Island,Ojodu,RDR-012,2026-07-20,11:35,12:50,8935.35,985.41,delivered,,
FD-00250,Yetunde Akinwande,Yaba,Victoria Island,RDR-018,2026-07-15,10:57,,7106.27,729.6,DELIVERED,cash,4.4
FD-00068,Adaeze Obi,Yaba,Surulere,RDR-025,2026-07-22,08:18,,5929.77,252.25,DELIVERED,cash,3.7
FD-00402,Taiwo Hassan,Victoria Island,Yaba,RDR-012,2026-07-17,,,2829.13,772.8,Delivered,transfer,3.4
FD-00204,Ngozi Eze,Victoria Island,Yaba,RDR-024,2026-07-20,,,,1096.21,Delivered,cash,3.8
FD-00207,Chukwuemeka Nwosu,Surulere,Victoria Island,RDR-007,2026-07-09,14:47,15:12,14171.06,485.91,Delivered,card,2.9
FD-00399,Emeka Chukwu,Ojodu,Victoria Island,RDR-004,2026-07-22,11:36,,"₦10,350.28",790.23,failed ,transfer,4.5
